,Alpha 1
0,AF
2,AL
3,DZ
4,AS
5,AD
6,AO
7,AI
8,AQ
9,AG
10,AR
11,AM
12,AW
14,AU
15,AT
16,AZ
17,BS
18,BH
20,BD
21,BB
23,BY
24,BE
25,BZ
26,BJ
27,BM
28,BT
29,BO
30,BA
31,BW
32,BV
33,BR
34,IO
35,VG
36,BN
37,BG
38,BF
39,MM
40,BI
41,CV
42,KH
43,CM
44,CA
45,KY
46,CF
47,TD
48,CL
49,CN
50,CX
52,CC
53,CO
54,KM
55,CD
56,CG
57,CK
59,CR
60,CI
61,HR
62,CU
63,CW
64,CY
65,CZ
66,DK
68,DJ
69,DM
70,DO
71,EC
72,EG
73,SV
74,GQ
75,ER
76,EE
77,SZ
78,ET
80,FK
81,FO
82,FJ
83,FI
84,FR
85,FX
86,GF
87,PF
88,TF
89,GA
90,GM
91,PS
92,GE
93,DE
94,GH
95,GI
97,GR
98,GL
99,GD
100,GP
101,GU
102,GT
103,GG
104,GN
105,GW
106,GY
107,HT
108,HM
109,VA
110,HN
111,HK
113,HU
114,IS
115,IN
116,ID
117,IR
118,IQ
119,IE
120,IM
121,IL
122,IT
123,JM
125,JP
127,JE
129,JO
131,KZ
132,KE
134,KI
135,KP
136,KR
137,XK
138,KW
139,KG
140,LA
141,LV
142,LB
143,LS
144,LR
145,LY
146,LI
147,LT
148,LU
149,MO
150,MG
151,MW
152,MY
153,MV
154,ML
155,MT
156,MH
157,MQ
158,MR
159,MU
160,YT
161,MX
162,FM
164,MD
165,MC
166,MN
167,ME
168,MS
169,MA
170,MZ
173,NR
175,NP
176,NL
178,NC
179,NZ
180,NI
181,NE
182,NG
183,NU
184,NF
185,MK
186,MP
187,NO
188,OM
189,PK
190,PW
192,PA
193,PG
195,PY
196,PE
197,PH
198,PN
199,PL
200,PT
201,PR
202,QA
203,RE
204,RO
205,RU
206,RW
207,BL
208,SH
209,KN
210,LC
211,MF
212,PM
213,VC
214,WS
215,SM
216,ST
217,SA
218,SN
219,RS
220,SC
221,SL
222,SG
223,SX
224,SK
225,SI
226,SB
227,SO
228,ZA
229,GS
230,SS
231,ES
233,LK
234,SD
235,SR
236,SJ
237,SE
238,CH
239,SY
240,TW
241,TJ
242,TZ
243,TH
244,TL
245,TG
246,TK
247,TO
248,TT
250,TN
251,TR
252,TM
253,TC
254,TV
255,UG
256,UA
257,AE
258,GB
259,US
260,UM
261,UY
262,UZ
263,VU
264,VE
265,VN
266,VI
270,WF
271,PS
272,EH
275,YE
277,ZM
278,ZW
