,Album Name,Album ID,Album Genre,Album Popularity,Album Markets
0,positions,3jqEvfiu2ENgmgzZq27zbi,[],0,"['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']"
1,Featuring Ty Dolla $ign,6M4Nu5UgX097dxeF2lm9P8,[],0,"['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']"
2,Music Is The Weapon,0B0YAftqQVpzUD7K12wDVg,[],0,"['CA', 'HK', 'ID', 'IL', 'IN', 'MX', 'MY', 'PH', 'SG', 'TH', 'TW', 'US', 'VN']"
3,BICHOTA,6LO6I2uJMkc0u7GHBYHa4Y,[],0,"['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']"
4,Too Much (feat. Usher),6lObxQq82f6xitLI8xZQyz,[],0,"['AD', 'AE', 'AL', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'CH', 'CY', 'CZ', 'DE', 'DK', 'EE', 'EG', 'ES', 'FI', 'FR', 'GR', 'HK', 'HR', 'HU', 'ID', 'IL', 'IN', 'IT', 'JO', 'JP', 'KW', 'LB', 'LI', 'LT', 'LU', 'LV', 'MC', 'ME', 'MK', 'MT', 'MY', 'NL', 'NO', 'NZ', 'OM', 'PH', 'PL', 'PS', 'QA', 'RO', 'RS', 'SA', 'SE', 'SG', 'SI', 'SK', 'TH', 'TR', 'TW', 'VN', 'XK', 'ZA', 'DZ', 'GB', 'IE', 'MA', 'PT', 'TN', 'IS', 'AR', 'BR', 'CL', 'PY', 'UY', 'BO', 'CA', 'DO', 'US', 'CO', 'EC', 'MX', 'PA', 'PE', 'CR', 'GT', 'HN', 'NI', 'SV']"
5,elated!,1bddkQczuUlV4e4MW2SOO1,[],0,"['AD', 'AE', 'AL', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BY', 'CH', 'CY', 'CZ', 'DE', 'DK', 'EE', 'EG', 'ES', 'FI', 'FR', 'GR', 'HK', 'HR', 'HU', 'ID', 'IL', 'IN', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MC', 'MD', 'ME', 'MK', 'MT', 'MY', 'NL', 'NO', 'NZ', 'OM', 'PH', 'PL', 'PS', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'TH', 'TR', 'TW', 'UA', 'VN', 'XK', 'ZA', 'DZ', 'GB', 'IE', 'MA', 'PT', 'TN', 'IS', 'AR', 'BR', 'CL', 'PY', 'UY', 'BO', 'CA', 'DO', 'US', 'CO', 'EC', 'MX', 'PA', 'PE', 'CR', 'GT', 'HN', 'NI', 'SV']"
6,Back to the Streets (feat. Jhené Aiko),7HxXpcSX4TP9JraXZfiW0S,[],0,"['AD', 'AE', 'AL', 'AR', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BO', 'BR', 'BY', 'CA', 'CH', 'CL', 'CO', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EC', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'GT', 'HK', 'HN', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IS', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MA', 'MC', 'MD', 'ME', 'MK', 'MT', 'MX', 'MY', 'NI', 'NL', 'NO', 'NZ', 'OM', 'PA', 'PE', 'PH', 'PL', 'PS', 'PT', 'PY', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'SV', 'TH', 'TN', 'TR', 'TW', 'UA', 'US', 'UY', 'VN', 'XK', 'ZA']"
7,Letter To You,5devPxQnSKVF2Ed0CVwQZh,[],0,"['AD', 'AE', 'AL', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BY', 'CH', 'CY', 'CZ', 'DE', 'DK', 'EE', 'EG', 'ES', 'FI', 'FR', 'GR', 'HK', 'HR', 'HU', 'ID', 'IL', 'IN', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MC', 'MD', 'ME', 'MK', 'MT', 'MY', 'NL', 'NO', 'NZ', 'OM', 'PH', 'PL', 'PS', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'TH', 'TR', 'TW', 'UA', 'VN', 'XK', 'ZA', 'DZ', 'GB', 'IE', 'MA', 'PT', 'TN', 'IS', 'AR', 'BR', 'CL', 'PY', 'UY', 'BO', 'CA', 'DO', 'US', 'CO', 'EC', 'MX', 'PA', 'PE', 'CR', 'GT', 'HN', 'NI', 'SV']"
8,What You See Ain't Always What You Get (Deluxe Edition),25TJxI6ZH6XjT8geRQAFz5,[],0,"['AD', 'AE', 'AL', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BY', 'CH', 'CY', 'CZ', 'DE', 'DK', 'EE', 'EG', 'ES', 'FI', 'FR', 'GR', 'HK', 'HR', 'HU', 'ID', 'IL', 'IN', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MC', 'MD', 'ME', 'MK', 'MT', 'MY', 'NL', 'NO', 'NZ', 'OM', 'PH', 'PL', 'PS', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'TH', 'TR', 'TW', 'UA', 'VN', 'XK', 'ZA', 'DZ', 'GB', 'IE', 'MA', 'PT', 'TN', 'IS', 'AR', 'BR', 'CL', 'PY', 'UY', 'BO', 'CA', 'DO', 'US', 'CO', 'EC', 'MX', 'PA', 'PE', 'CR', 'GT', 'HN', 'NI', 'SV']"
9,Inside Out (feat. Griff),4eAf9fHtOj0mVTSV3cB2km,[],0,"['AD', 'AE', 'AL', 'AT', 'AU', 'BA', 'BE', 'BG', 'BH', 'BY', 'CH', 'CY', 'CZ', 'DE', 'DK', 'EE', 'EG', 'ES', 'FI', 'FR', 'GR', 'HK', 'HR', 'HU', 'ID', 'IL', 'IN', 'IT', 'JO', 'JP', 'KW', 'KZ', 'LB', 'LI', 'LT', 'LU', 'LV', 'MC', 'MD', 'ME', 'MK', 'MT', 'MY', 'NL', 'NO', 'NZ', 'OM', 'PH', 'PL', 'PS', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'SG', 'SI', 'SK', 'TH', 'TR', 'TW', 'UA', 'VN', 'XK', 'ZA', 'DZ', 'GB', 'IE', 'MA', 'PT', 'TN', 'IS', 'AR', 'BR', 'CL', 'PY', 'UY', 'BO', 'CA', 'DO', 'US', 'CO', 'EC', 'MX', 'PA', 'PE', 'CR', 'GT', 'HN', 'NI', 'SV']"
